0.46714,0.39429
0.576,0.386
0.51087,0.2987
0.49667,0.32556
0.56409,0.38
0.51714,0.35
0.55174,0.38957
0.5688,0.4708
0.57679,0.40929
0.51783,0.34261
0.53727,0.36909
0.5624,0.3916
0.53,0.34929
0.55586,0.37069
0.56435,0.39043
0.57542,0.39667
0.60083,0.43542
0.7,0.54429
0.55238,0.38857
0.362,0.191
0.5592,0.3728
0.55682,0.38091
0.53826,0.36435
0.59091,0.41955
0.59909,0.41909
0.55053,0.37526
0.55857,0.37905
0.60037,0.42963
0.6708,0.512
0.60069,0.42172
0.425,0.25417
0.577,0.4175
0.54563,0.38
0.57241,0.48724
0.54143,0.36952
0.47926,0.31
0.62684,0.45895
0.59286,0.42036
0.6184,0.448
0.57333,0.39
0.5781,0.40333
0.447,0.285
0.58136,0.4
0.56227,0.38955
0.53556,0.32944
0.59455,0.40773
0.54045,0.35318
0.60792,0.43
0.59292,0.41583
0.57692,0.40038
0.53962,0.35962
0.53269,0.35192
0.55654,0.36923
0.61077,0.43385
0.61,0.43032
0.5319,0.33619
0.56222,0.38444
0.6408,0.4708
0.56714,0.39143
0.56,0.39
